feature,Mean_Oxygen,Mean_Oxygen_qval,log_PO4,log_PO4_qval,log_NO2NO3,log_NO2NO3_qval,sqrt_iron,sqrt_iron_qval,log_depth,log_depth_qval,Mean_Temperature,Mean_Temperature_qval,Mean_Salinity,Mean_Salinity_qval,size_fraction,size_fraction_qval,Absolute_Latitude,Absolute_Latitude_qval
COG3882,negative,0.0131020025000927,not_significant,0.909030035385732,not_significant,0.0596763676021249,not_significant,0.776660974428316,not_significant,0.127183394179454,not_significant,0.639033174338387,not_significant,0.505202183084267,not_significant,0.352244188964503,positive,0.0152466457182234
COG3883,negative,1.5791171895165e-5,not_significant,0.971740409508431,not_significant,0.911418083998724,not_significant,0.276620231660629,not_significant,0.0616138796944392,not_significant,0.328999836853989,not_significant,0.835105531980054,not_significant,0.269283070112274,not_significant,0.501427002296983
COG3884,not_significant,0.217242553886267,not_significant,0.204623534458211,not_significant,0.828291500898104,not_significant,0.601706659024102,not_significant,0.505763866924416,not_significant,0.798475982958858,not_significant,0.216603251280202,not_significant,0.699313591226465,negative,0.0283140664769148
COG3885,not_significant,0.209809698551358,not_significant,0.271880996043821,not_significant,0.994330940336311,not_significant,0.88687640085915,positive,0.00498182726357293,not_significant,0.616476557761991,not_significant,0.734836939547858,not_significant,0.709290348942033,not_significant,0.791990681998117
COG3886,not_significant,0.964838718480978,positive,2.5639762619324e-4,negative,0.0249411033468014,not_significant,0.246591212482879,not_significant,0.0765808431777014,not_significant,0.764387081349908,not_significant,0.815333359189147,not_significant,0.0840424350108533,not_significant,0.473658054355369
COG3889,negative,0.0112337298845575,not_significant,0.50990843982131,positive,0.00396450542811943,not_significant,0.05427503121128,positive,0.0400693304470909,not_significant,0.456648532629637,not_significant,0.14946961591692,positive,0.0261776086381118,not_significant,0.0884908526481991
COG3892,not_significant,0.522719255326057,not_significant,0.57359237623359,not_significant,0.524706508813044,not_significant,0.360418664417691,not_significant,0.772824497067643,not_significant,0.859206076215635,not_significant,0.33777035839055,not_significant,0.557103117556666,not_significant,0.346115254162151
COG3893,not_significant,0.0967558005201035,not_significant,0.371551485434553,not_significant,0.360372968483172,not_significant,0.140722883421331,not_significant,0.656522681679776,not_significant,0.917626255622822,not_significant,0.917264155934263,not_significant,0.535679457303754,not_significant,0.624473147323777
COG3894,not_significant,0.0502917922639641,not_significant,0.200907065897737,not_significant,0.374086925363251,positive,0.034688031273921,not_significant,0.307952522202281,negative,0.0256930830328836,not_significant,0.942294348953443,not_significant,0.89683656761461406,not_significant,0.888708879634159
COG3895,not_significant,0.64450837089264,not_significant,0.849298924802629,not_significant,0.896087551954137,not_significant,0.820875327394808,positive,0.0165167026349761,not_significant,0.309841416198311,not_significant,0.397021040404309,positive,0.020398795839798,not_significant,0.988319297458013
COG3896,not_significant,0.0587986817366277,not_significant,0.820374968958224,not_significant,0.148642196067854,not_significant,0.85826890911138,not_significant,0.378193989335827,not_significant,0.733333116879101,not_significant,0.343254148407577,not_significant,0.863471646204429,not_significant,0.590441597815684
COG3897,not_significant,0.779168881936796,not_significant,0.847794965317474,not_significant,0.285885464928561,not_significant,0.442738201639582,not_significant,0.258993737890196,not_significant,0.987016101032209,not_significant,0.0565860763077083,not_significant,0.229008559899508,not_significant,0.603206635020318
COG3898,not_significant,0.278460710668859,not_significant,0.813603620815169,not_significant,0.385908554285468,not_significant,0.478293363769655,not_significant,0.473480712020656,not_significant,0.483964724849267,not_significant,0.907596357946178,not_significant,0.929330960499101,not_significant,0.349381400521151
COG3899,not_significant,0.738657415081709,not_significant,0.920835347587246,not_significant,0.989649887709651,not_significant,0.297931489468778,positive,0.00156085866821931,not_significant,0.827850751114872,not_significant,0.342182269662771,positive,0.0141628572971937,not_significant,0.486054432401826
COG3900,negative,0.00959673086214853,not_significant,0.991036914761187,not_significant,0.218161740625029,positive,0.00610363466391352,not_significant,0.104481186362152,not_significant,0.301284197598216,not_significant,0.231115945625566,positive,0.00528853635488709,not_significant,0.185730980212534
COG3901,negative,0.0498505818739918,not_significant,0.980306742001025,not_significant,0.517919713355998,positive,0.0117350374759498,positive,5.3291768521095e-5,not_significant,0.184311441435717,not_significant,0.413692159684161,positive,0.0122657855880049,not_significant,0.103911584329113
COG3903,not_significant,0.474075973232044,not_significant,0.710466851718574,not_significant,0.920835347587246,not_significant,0.596419840599945,not_significant,0.0706872938358213,not_significant,0.308362120804354,not_significant,0.0780223690543472,positive,0.0447095214927309,not_significant,0.636445235977079
COG3904,positive,0.040317967249587,not_significant,0.0530645243290594,not_significant,0.912708567778511,not_significant,0.544897011475757,not_significant,0.658066083927298,not_significant,0.980408417635587,not_significant,0.34242788013806,not_significant,0.992819531406058,not_significant,0.725629780652983
COG3905,not_significant,0.188496703513718,not_significant,0.545712097671169,not_significant,0.414603697761999,not_significant,0.0761239115897955,positive,0.0107679923456979,not_significant,0.212166878420441,not_significant,0.146025051084208,not_significant,0.0510939351649934,negative,0.0403657887617688
COG3907,negative,0.0409925183373613,not_significant,0.470407551366006,not_significant,0.25270684239744,positive,0.0254173926806652,positive,0.00671443667490242,not_significant,0.969352400364775,not_significant,0.149045983620829,not_significant,0.0693216700796273,not_significant,0.704957008021505
COG3908,not_significant,0.389134623970869,not_significant,0.360418664417691,not_significant,0.496543137919694,not_significant,0.597374323133934,not_significant,0.287849289168565,not_significant,0.850691017820253,not_significant,0.851770189178776,not_significant,0.770883664357083,not_significant,0.356040288709444
COG3909,not_significant,0.819246379281556,not_significant,0.728768962623822,not_significant,0.888708879634159,not_significant,0.0564591159126023,negative,0.017748487409938202,not_significant,0.605263401892145,not_significant,0.0912999918283701,not_significant,0.302578238952738,not_significant,0.414847941640487
COG3910,not_significant,0.171816061850093,not_significant,0.384330030737908,not_significant,0.288090013368849,positive,0.00229903227044457,positive,0.0308024190872036,not_significant,0.126160508406043,positive,0.0185589231276371,positive,0.029906436923141,not_significant,0.825662538943689
COG3911,not_significant,0.0619718631543454,not_significant,0.665587457696003,not_significant,0.416470865543158,not_significant,0.937158792362807,not_significant,0.225929588970322,not_significant,0.389648787523852,not_significant,0.875019916581019,not_significant,0.137454821169525,not_significant,0.452141228394981
COG3913,not_significant,0.664025680902579,positive,0.0156473740469725,not_significant,0.673630522025015,not_significant,0.174879306921322,not_significant,0.364655091514109,not_significant,0.597464629805343,not_significant,0.49567289337353,positive,0.0335337859497372,not_significant,0.532932850522764
COG3914,not_significant,0.578276233927477,not_significant,0.885310310073549,not_significant,0.62087531259389,not_significant,0.22443742832307,not_significant,0.393320015578559,not_significant,0.965191715051027,not_significant,0.86369319310149,not_significant,0.779445732620169,not_significant,0.796393092634615
COG3915,positive,0.0140021076920237,not_significant,0.0718203290763853,not_significant,0.399690793513372,not_significant,0.372717526159885,positive,0.0441576833173941,not_significant,0.754818968877213,not_significant,0.644095180943402,not_significant,0.20874440747022,not_significant,0.303818329450174
COG3916,not_significant,0.360306620313589,not_significant,0.542377814856729,not_significant,0.701244900093094,not_significant,0.657553522874793,not_significant,0.950419227565394,not_significant,0.179185806667489,not_significant,0.70679739429719,not_significant,0.821186948137856,not_significant,0.461575691060213
COG3917,not_significant,0.647443834871178,not_significant,0.308850086552855,not_significant,0.384131074964909,not_significant,0.450689994342797,negative,0.00850040241724407,not_significant,0.426617909597945,not_significant,0.553260690672425,not_significant,0.542479232020712,not_significant,0.557711176077191
