genome_count	ncbi_bioproject
      3 PRJEB2417
      3 PRJEB2397
      3 PRJEB21507
      3 PRJEB13222
      3 PRJEB10936
      3 PRJDB7920
      3 PRJDB7600
      3 PRJDB7163
      3 PRJDB6962
      3 PRJDB6788
      3 PRJDB6686
      3 PRJDB3430
      2 ncbi_bioproject
      2 PRJNA742009
      2 PRJNA73589
      2 PRJNA733006
      2 PRJNA726852
      2 PRJNA723730
      2 PRJNA723626
      2 PRJNA714941
      2 PRJNA698462
      2 PRJNA694558
      2 PRJNA693057
      2 PRJNA692118
      2 PRJNA688125
      2 PRJNA687224
      2 PRJNA680994
      2 PRJNA675899
      2 PRJNA672205
      2 PRJNA671788
      2 PRJNA669418
      2 PRJNA668660
      2 PRJNA668263
      2 PRJNA667298
      2 PRJNA666195
      2 PRJNA662633
      2 PRJNA662386
      2 PRJNA660404
      2 PRJNA658738
      2 PRJNA658327
      2 PRJNA65793
      2 PRJNA656706
      2 PRJNA656514
      2 PRJNA650216
      2 PRJNA643148
      2 PRJNA642781
      2 PRJNA627463
      2 PRJNA624744
      2 PRJNA622446
      2 PRJNA622262
      2 PRJNA616261
      2 PRJNA616013
      2 PRJNA616011
      2 PRJNA615288
      2 PRJNA611911
      2 PRJNA611629
      2 PRJNA611599
      2 PRJNA609744
      2 PRJNA607555
      2 PRJNA599490
      2 PRJNA598327
      2 PRJNA597967
      2 PRJNA596543
      2 PRJNA595774
      2 PRJNA595074
      2 PRJNA588232
      2 PRJNA577730
      2 PRJNA577513
      2 PRJNA576888
      2 PRJNA563784
      2 PRJNA563711
      2 PRJNA562695
      2 PRJNA562081
      2 PRJNA561882
      2 PRJNA561297
      2 PRJNA561036
      2 PRJNA556438
      2 PRJNA551948
      2 PRJNA548322
      2 PRJNA547794
      2 PRJNA543681
      2 PRJNA541977
      2 PRJNA541355
      2 PRJNA535528
      2 PRJNA534305
      2 PRJNA533558
      2 PRJNA532976
      2 PRJNA530113
      2 PRJNA529710
      2 PRJNA529425
      2 PRJNA527924
      2 PRJNA526910
      2 PRJNA526521
      2 PRJNA522893
      2 PRJNA522774
      2 PRJNA520977
      2 PRJNA518007
      2 PRJNA517933
      2 PRJNA517785
      2 PRJNA516792
      2 PRJNA513947
      2 PRJNA510915
      2 PRJNA510008
      2 PRJNA509563
      2 PRJNA505347
      2 PRJNA505148
      2 PRJNA504821
      2 PRJNA504734
      2 PRJNA504665
      2 PRJNA504546
      2 PRJNA498307
      2 PRJNA497607
      2 PRJNA496474
      2 PRJNA495731
      2 PRJNA493912
      2 PRJNA493547
      2 PRJNA493181
      2 PRJNA493163
      2 PRJNA490141
      2 PRJNA489678
      2 PRJNA483775
      2 PRJNA483246
      2 PRJNA481426
      2 PRJNA480363
      2 PRJNA477604
      2 PRJNA476944
      2 PRJNA476096
      2 PRJNA475442
      2 PRJNA473420
      2 PRJNA472798
      2 PRJNA471317
      2 PRJNA464406
      2 PRJNA450511
      2 PRJNA449135
      2 PRJNA445943
      2 PRJNA443587
      2 PRJNA436048
      2 PRJNA433211
      2 PRJNA431675
      2 PRJNA430093
      2 PRJNA428890
      2 PRJNA428836
      2 PRJNA428542
      2 PRJNA428427
      2 PRJNA421240
      2 PRJNA420172
